timestamp nodeid seqnumber itemperature ivoltage humidity temperature PAR TSR
1163700900984 7 0 18,42 3 57,25 24,11 1 2
1163700989890 5 0 25,43 3 49,91 23,82 9 10
1163701001406 8 0 21,21 3 51,45 23,89 2 2
1163701014890 6 0 18,83 3 54,05 23,48 2 2
1163701146953 3 0 19,35 3 58,69 23,52 22 25
1163701179578 2 0 24,2 3 52,91 25,5 8 11
1163701190828 1 0 17,08 3 59,96 22,91 9 12
1163701201031 7 1 18,42 3 52,19 23,69 3 4
1163701276218 12 0 24,61 2,66 49,25 23,94 16 32
1163701281125 10 0 21,93 2,68 50,03 24,27 9 15
1163701287781 9 0 22,44 2,67 50,15 23,41 11 8
1163701289921 5 1 25,43 3 49,62 23,33 9 10
1163701311437 8 1 21,21 3 50,04 23,56 2 2
1163701312390 13 0 22,13 3 52,61 22,38 2 2
1163701319921 6 1 18,42 3 53,15 23,35 2 1
1163701326578 14 0 17,9 2,69 55,87 22,52 2 2
1163701336234 15 0 19,55 3 55,16 21,68 74 92
1163701343015 16 0 22,55 2,65 52,46 21,96 93 113
1163701366156 17 0 23,78 3 45,87 25,83 8 11
1163701376515 19 0 22,96 3 47,71 25,09 100 86
1163701379703 20 0 24,51 3 49,53 25,32 119 128
1163701446968 3 1 19,35 3 56,68 23,2 21 24
1163701479593 2 1 23,37 3 55,56 23,12 9 10
1163701490843 1 1 16,77 3 58,56 22,7 10 11
1163701501031 7 2 18,01 3 52,45 23,53 3 3
1163701576250 12 1 24,51 2,66 48,41 23,69 1 1
1163701581109 10 1 21,72 2,68 49,71 24,01 1 1
1163701587796 9 1 22,44 2,67 50,22 23,24 1 1
1163701589953 5 2 25,33 3 49,8 23,21 10 9
1163701603453 11 1 22,55 2,65 47,77 23,72 1 1
1163701611453 8 2 20,9 3 50,1 23,5 1 2
1163701612421 13 1 22,03 3 52,07 22,12 2 3
1163701619937 6 2 18,52 3 53,18 23,29 2 2
1163701626609 14 1 17,9 2,69 55,72 21,87 2 2
1163701641250 15 1 18,83 3 57,76 21,01 93 127
1163701647984 16 1 22,03 2,65 54,1 21,38 101 124
1163701664609 18 1 22,96 3 46,53 25,6 98 77
1163701666187 17 1 23,78 3 45,13 25,74 15 17
1163701681531 19 1 22,96 3 46,71 25,16 143 162
1163701684734 20 1 24,51 3 48,46 25,36 97 147
1163701747000 3 2 19,14 3 56,58 23,17 21 26
1163701779640 2 2 23,27 3 55,88 22,98 8 10
1163701790875 1 2 16,77 3 58,79 22,6 10 12
1163701801062 7 3 18,32 3 52,57 23,46 3 4
1163701876281 12 2 24,51 2,65 48,6 23,65 0 1
1163701881140 10 2 21,72 2,68 49,74 23,98 1 1
1163701887828 9 2 22,13 2,67 50,25 23,23 1 1
1163701889968 5 3 25,33 3 49,86 23,19 9 8
1163701903484 11 2 22,13 2,65 47,99 23,66 1 1
1163701911468 8 3 20,9 3 50,16 23,5 2 2
1163701912437 13 2 21,82 3 52,46 22,22 2 2
1163701919968 6 3 18,73 3 53,24 23,27 2 1
1163701926625 14 2 17,9 2,69 55,99 21,88 2 3
1163701941281 15 2 19,25 3 55,34 21,86 107 135
1163701948000 16 2 22,44 2,65 52,61 21,93 101 124
1163701964671 18 2 23,27 3 48,75 25,59 9 8
1163701966203 17 2 24,09 3 45,14 25,83 8 12
1163701981562 19 2 22,86 3 46,9 25,12 126 154
1163701984750 20 2 24,51 3 49 25,29 155 176
1163702047015 3 3 19,25 3 56,52 23,15 21 24
1163702079671 2 3 23,27 3 56,11 22,91 9 11
1163702090906 1 3 16,67 3 58,99 22,52 10 11
1163702101093 7 4 18,01 3 52,63 23,43 3 3
1163702176312 12 3 24,51 2,65 48,6 23,64 1 1
1163702181156 10 3 21,62 2,68 49,8 23,98 1 1
1163702187859 9 3 22,13 2,67 50,28 23,22 1 0
1163702190000 5 4 25,33 3 49,83 23,19 9 9
1163702203500 11 3 22,13 2,65 48,02 23,66 1 1
1163702211515 8 4 20,9 3 50,19 23,46 2 2
1163702212468 13 3 22,03 3 52,38 22,27 2 2
1163702219984 6 4 18,42 3 53,35 23,21 2 2
1163702226656 14 3 17,9 2,68 55,76 21,99 2 2
1163702241296 15 3 19,55 3 54,69 22,08 98 134
1163702248031 16 3 22,55 2,64 52,22 22,05 96 115
1163702264703 18 3 22,96 3 50,1 25,51 6 8
1163702266234 17 3 23,78 3 45,2 25,78 1 2
1163702276593 19 3 22,86 3 47 25,14 112 156
1163702279781 20 3 24,51 3 49,07 25,29 156 181
1163702347031 3 4 19,25 3 56,69 23,08 20 26
1163702379687 2 4 22,96 3 56,2 22,88 9 11
1163702390921 1 4 16,67 3 59,02 22,48 9 10
1163702401109 7 5 18,01 3 52,72 23,4 3 3
1163702476328 12 4 24,61 2,65 48,61 23,68 0 0
1163702481187 10 4 21,62 2,68 49,84 23,98 1 1
1163702487890 9 4 22,13 2,67 50,32 23,23 1 1
1163702490031 5 5 25,33 3 49,89 23,15 9 10
1163702503531 11 4 22,44 2,65 47,99 23,69 1 1
1163702511531 8 5 20,79 3 50,15 23,44 2 2
1163702512484 13 4 22,13 3 52,03 22,31 2 2
1163702520015 6 5 18,42 3 53,26 23,23 2 2
1163702526687 14 4 17,9 2,68 55,31 22,02 2 2
1163702541328 15 4 19,14 3 55,6 21,26 108 134
1163702548046 16 4 22,13 2,64 52,23 21,68 100 125
1163702564703 18 4 22,96 3 48,94 25,52 8 10
1163702566265 17 4 24,09 3 45,2 25,76 1 1
1163702581625 19 4 22,55 3 46,89 25,06 76 92
1163702584812 20 4 24,2 3 48,84 25,3 149 187
1163702647062 3 5 19,25 3 56,73 23,1 21 25
1163702690953 1 5 16,77 3 59,1 22,46 9 11
1163702701140 7 6 18,01 3 52,77 23,34 3 4
1163702776359 12 5 24,3 2,65 48,79 23,62 1 1
1163702781218 10 5 21,62 2,68 49,87 23,99 1 1
1163702787921 9 5 22,13 2,67 50,32 23,25 1 0
1163702790062 5 6 25,02 3 49,89 23,12 10 9
1163702803546 11 5 22,44 2,64 48,06 23,68 1 0
1163702811546 8 6 20,79 3 50,15 23,44 2 2
1163702812515 13 5 21,72 3 52,48 22,1 2 2
1163702820046 6 6 18,42 3 53,32 23,19 2 2
1163702826703 14 5 17,7 2,68 55,99 21,84 2 3
1163702841343 15 5 18,73 3 57,45 21,13 92 126
1163702848078 16 5 22,03 2,64 53,72 21,58 96 128
1163702864718 18 5 22,96 3 50,25 25,47 4 6
1163702866296 17 5 23,78 3 45,19 25,7 1 1
1163702881656 19 5 22,86 3 46,83 25,07 94 142
1163702884828 20 5 24,2 3 48,58 25,26 93 150
1163702947078 3 6 19,25 3 56,69 23,09 20 23
1163702979750 2 6 22,86 3 56,34 22,78 10 11
1163702990968 1 6 16,67 3 58,96 22,54 10 10
1163703001156 7 7 18,01 3 52,78 23,35 3 3
1163703076375 12 6 24,2 2,65 48,74 23,7 1 1
1163703081234 10 6 21,62 2,67 49,93 23,98 1 2
1163703087937 9 6 22,44 2,67 50,36 23,3 0 0
1163703090078 5 7 25,33 3 49,86 23,14 10 9
1163703103593 11 6 22,44 2,64 48,09 23,68 1 1
1163703111578 8 7 20,79 3 50,21 23,42 2 2
1163703112546 13 6 22,03 3 52,53 22,22 2 3
1163703120062 6 7 18,42 3 53,35 23,18 1 2
1163703126734 14 6 17,59 2,68 56,06 21,88 2 2
1163703141375 15 6 19,55 3 55,25 21,86 106 129
1163703148109 16 6 22,55 2,64 52,65 21,98 98 117
1163703164750 18 6 22,96 3 48,37 25,43 9 9
1163703166328 17 6 23,78 3 45,42 25,71 1 1
1163703181671 19 6 22,86 3 46,96 25,04 77 101
1163703184859 20 6 24,2 3 48,93 25,24 108 119
1163703247109 3 7 19,25 3 56,82 23,11 21 25
1163703279781 2 7 23,27 3 56,23 22,87 9 12
1163703291000 1 7 16,77 3 58,94 22,58 9 10
1163703301187 7 8 18,01 3 52,77 23,34 3 3
1163703376406 12 7 24,51 2,64 48,8 23,69 0 1
1163703381265 10 7 21,72 2,67 50 23,99 1 1
1163703387968 9 7 22,44 2,66 50,45 23,27 1 0
